DAUID,C1_COUNT_TOTAL
35203743,545.0
35203745,886.0
35203752,1065.0
35203753,347.0
35203755,406.0
35203757,576.0
35203759,389.0
35203760,466.0
35203761,440.0
35203762,606.0
35203766,1265.0
35203787,704.0
35203789,285.0
35203791,289.0
35203796,505.0
35203799,719.0
35203800,444.0
35203801,476.0
35203802,467.0
35203803,517.0
35203808,404.0
35203809,427.0
35203810,548.0
35203811,713.0
35203812,827.0
35203813,426.0
35203815,590.0
35203828,422.0
35203829,444.0
35203833,529.0
35203834,711.0
35203835,334.0
35203837,229.0
35203838,437.0
35203841,504.0
35203845,393.0
35203847,342.0
